Nombre;id del curso;URL_lMS;;;;;;;;;;;;;;;;;;;;;
Ilustración Vectorial;course-v1:ISILGO+105_IV+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+105_IV+2021/course/;;;;;;;;;;;;;;;;;;;;;
¿Cómo potenciar tu desarrollo profesional?;course-v1:ISILGO+106_CPDP+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+106_CPDP+2022/course/;;;;;;;;;;;;;;;;;;;;;
Cultura de Innovación: Estructuras, Equipos y Herramientas;course-v1:ISILGO+107_CIEE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+107_CIEE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Cultura de Innovación: Liderazgo, Talento y Métricas;course-v1:ISILGO+108_CILT+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+108_CILT+2022/course/;;;;;;;;;;;;;;;;;;;;;
ERP - Sistemas de información logística;course-v1:ISILGO+109_ERPS+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+109_ERPS+2022/course/;;;;;;;;;;;;;;;;;;;;;
CX - Experiencia de cliente;course-v1:ISILGO+10_EC+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+10_EC+2021/course/;;;;;;;;;;;;;;;;;;;;;
Estrategias de marketing omnicanal;course-v1:ISILGO+110_EMO+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+110_EMO+2022/course/;;;;;;;;;;;;;;;;;;;;;
Excel para análisis financieros;course-v1:ISILGO+111_EAF+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+111_EAF+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de importaciones y exportaciones;course-v1:ISILGO+112_GIE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+112_GIE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a la Logística;course-v1:ISILGO+113_IL+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+113_IL+2022/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a las metodologías de innovación;course-v1:ISILGO+114_IMI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+114_IMI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Investigación de mercados cualitativa y cuantitativa;course-v1:ISILGO+115_IMC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+115_IMC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Investigación de mercados cualitativa y cuantitativa;course-v1:ISILGO+115_IMCC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+115_IMCC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Logística en e-commerce;course-v1:ISILGO+116_LE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+116_LE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Logística inversa como ventaja diferencial;course-v1:ISILGO+117_LIVD+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+117_LIVD+2022/course/;;;;;;;;;;;;;;;;;;;;;
Modelos de Innovación para crear valor;course-v1:ISILGO+118_MICV+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+118_MICV+2022/course/;;;;;;;;;;;;;;;;;;;;;
Pensamiento sistémico para la toma de decisiones;course-v1:ISILGO+119_PSTD+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+119_PSTD+2022/course/;;;;;;;;;;;;;;;;;;;;;
